Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99381.0,Randall (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99383.0,Reagan (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99385.0,Real (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99387.0,Red River (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99389.0,Reeves (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99391.0,Refugio (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99393.0,Roberts (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99395.0,Robertson (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99397.0,Rockwall (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99399.0,Runnels (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99401.0,Rusk (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99403.0,Sabine (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99409.0,San Patricio (County),8035
