Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4042,Yes,No,Yes,Yes,VA,2011-11-04 17:58:00,DR,Earthquake,EARTHQUAKE,2011-08-23 13:51:00,2011-10-25 00:00:00,,99065.0,Fluvanna (County),11246
4042,Yes,No,Yes,Yes,VA,2011-11-04 17:58:00,DR,Earthquake,EARTHQUAKE,2011-08-23 13:51:00,2011-10-25 00:00:00,,99075.0,Goochland (County),11246
4042,Yes,No,Yes,Yes,VA,2011-11-04 17:58:00,DR,Earthquake,EARTHQUAKE,2011-08-23 13:51:00,2011-10-25 00:00:00,,99099.0,King George (County),11246
4042,Yes,No,Yes,Yes,VA,2011-11-04 17:58:00,DR,Earthquake,EARTHQUAKE,2011-08-23 13:51:00,2011-10-25 00:00:00,,99109.0,Louisa (County),11246
4042,Yes,No,Yes,Yes,VA,2011-11-04 17:58:00,DR,Earthquake,EARTHQUAKE,2011-08-23 13:51:00,2011-10-25 00:00:00,,99131.0,Northampton (County),11246
4042,Yes,No,Yes,Yes,VA,2011-11-04 17:58:00,DR,Earthquake,EARTHQUAKE,2011-08-23 13:51:00,2011-10-25 00:00:00,,99137.0,Orange (County),11246
4042,Yes,No,Yes,Yes,VA,2011-11-04 17:58:00,DR,Earthquake,EARTHQUAKE,2011-08-23 13:51:00,2011-10-25 00:00:00,,99177.0,Spotsylvania (County),11246
1911,No,No,Yes,Yes,CA,2010-05-07 18:15:00,DR,Earthquake,EARTHQUAKE,2010-04-04 17:40:00,2010-07-04 12:00:00,,99025.0,Imperial (County),10047
1859,Yes,No,Yes,Yes,AS,2009-09-29 21:55:00,DR,Earthquake,"EARTHQUAKE,TSUNAMI, AND FLOODING",2009-09-29 06:00:00,2009-10-06 00:00:00,,99010.0,Eastern (District),9114
1859,Yes,No,Yes,Yes,AS,2009-09-29 21:55:00,DR,Earthquake,"EARTHQUAKE,TSUNAMI, AND FLOODING",2009-09-29 06:00:00,2009-10-06 00:00:00,,99020.0,Manu'a (District),9114
